film_idx,title,year,9_how_realistic_did_you_find_the_dialogue_in_the_movie,1_how_many_protagonists_were_there_a_protagonist_is_the_person_or_enti,3_approximately_how_many_named_side_characters_are_in_this_movie_feel,5_if_you_checked_any_of_the_above_how_relevant_are_these_aspect_s_of_t,8a_how_likable_was_this_protagonist_by_likable_we_mean_easy_to_relate,8b_how_competent_was_this_protagonist_by_competent_we_mean_effective_a,11_how_real_did_this_protagonist_feel_to_you,12_how_emotionally_invested_were_you_in_this_protagonist,13_how_relatable_did_you_find_this_protagonist,5_in_your_opinion_how_would_you_rate_the_quality_of_the_character_writ,3_how_realistic_was_the_world_of_the_movie_by_realistic_we_mean_plausi,5_how_fantastical_was_the_world_of_the_movies_by_fantastical_we_mean_a,6_how_science_fictional_was_the_world_of_the_movie_by_science_fictiona,7_overall_how_relevant_was_world_building_to_the_movie_world_building,8_how_many_major_settings_does_the_movie_contain_here_we_re_asking_you,4_how_immersive_did_you_find_this_setting_by_immersive_we_mean_fully_r,5_in_your_opinion_how_would_you_rate_the_quality_of_the_setting_and_wo,7_on_the_whole_how_would_you_describe_the_pace_of_the_movie_pace_is_th,12a_on_a_scale_of_1_entirely_unresolved_to_7_entirely_resolved,12b_on_a_scale_of_1_very_unsurprising_predictable_to_7_very_surprising,12c_on_a_scale_of_1_very_confusing_to_7_very_easy_to_understand,19_how_convincing_did_you_find_the_plot_by_convincing_we_mean_believab,3_how_evocative_did_you_find_the_visual_style_by_evocative_we_mean_aff,4_how_interesting_did_you_find_the_visual_style_by_interesting_we_mean,7_now_let_s_talk_pun_intended_about_dialogue_in_your_opinion_how_was_t,8_how_engaging_did_you_find_the_dialogue_in_the_movie,5_to_what_extent_did_you_feel_moved_by_this_movie_on_an_emotional_basi,13_how_much_did_you_like_the_score,8c_how_proactive_was_this_protagonist_by_proactive_we_mean_motivated_a,plot_driven,character_driven,character_development,opening_hook,time_linearity,plot_linearity,ending_reversal
10,Batman (1966 film),1966.0,2.0,2.0,10.0,1.0,4.0,3.0,3.0,4.0,3.0,5.0,1.0,5.0,3.0,3.0,4.0,4.0,5.0,4.0,6.0,2.0,6.0,1.0,6.0,6.0,4.0,6.0,2.0,5.0,5.0,5,2,2.0,5,1,1.5,2
11,Batman Returns,1992.0,3.0,3.0,10.0,5.0,3.0,4.0,5.0,5.0,4.0,6.0,2.0,3.0,3.0,4.0,3.0,6.0,6.0,4.0,5.0,5.0,3.0,3.0,6.0,6.0,3.0,4.0,4.0,7.0,4.0,5,4,3.0,5,4,3.5,3
12,Batman &amp; Robin (film),1997.0,2.0,3.0,10.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,2.0,5.0,3.0,3.0,4.0,4.0,3.0,3.0,7.0,2.0,3.0,2.0,3.0,4.0,2.0,3.0,1.0,2.0,4.0,5,3,3.0,3,1,1.5,2
13,Batman Forever,1995.0,3.0,3.0,10.0,5.0,4.0,4.0,5.0,5.0,4.0,5.0,2.0,2.0,4.0,3.0,3.0,5.0,5.0,4.0,7.0,3.0,5.0,3.0,6.0,6.0,3.0,4.0,3.0,5.0,4.0,5,4,4.0,4,4,2.0,2
14,Bride of the Monster,1955.0,1.0,3.0,10.0,1.0,3.0,2.0,2.0,2.0,3.0,2.0,1.0,3.0,3.0,2.0,3.0,2.0,2.0,3.0,5.0,1.0,3.0,1.0,3.0,2.0,2.0,2.0,1.0,3.0,3.0,5,2,1.0,5,1,2.0,3
15,Citizen Kane,1941.0,6.0,1.0,20.0,5.0,2.0,3.0,6.0,6.0,4.0,7.0,5.0,1.0,1.0,1.0,3.0,6.0,7.0,3.0,3.0,5.0,5.0,5.0,7.0,7.0,5.0,7.0,5.0,7.0,3.0,5,5,5.0,5,4,3.5,3
16,"Crouching Tiger, Hidden Dragon",2000.0,5.0,4.0,20.0,5.0,5.0,4.0,6.0,6.0,5.0,7.0,3.0,5.0,1.0,4.0,4.0,6.0,7.0,4.0,5.0,5.0,5.0,5.0,7.0,7.0,4.0,6.0,5.0,7.0,4.0,5,5,6.0,5,4,2.0,3
17,Chariots of Fire,1981.0,6.0,2.0,10.0,5.0,4.0,5.0,6.0,6.0,6.0,6.0,6.0,1.0,1.0,2.0,3.0,5.0,6.0,2.0,7.0,3.0,6.0,6.0,7.0,6.0,4.0,6.0,5.0,7.0,5.0,5,5,5.0,3,4,2.5,3
18,Destry Rides Again,1939.0,5.0,2.0,10.0,3.0,5.0,4.0,6.0,6.0,5.0,6.0,4.0,1.0,1.0,3.0,2.0,5.0,6.0,3.0,7.0,3.0,6.0,5.0,6.0,5.0,4.0,5.0,3.0,5.0,4.0,5,4,5.0,4,1,1.5,3
19,Dressed to Kill (1980 film),1980.0,4.0,3.0,10.0,5.0,2.0,2.0,5.0,3.0,4.0,5.0,3.0,1.0,1.0,1.0,3.0,5.0,5.0,4.0,5.0,3.0,3.0,2.0,7.0,7.0,3.0,5.0,3.0,7.0,2.0,5,4,2.0,5,4,2.0,3
20,Dr. Strangelove,1964.0,5.0,4.0,20.0,5.0,3.0,2.0,5.0,3.0,2.0,6.0,3.0,1.0,5.0,3.0,3.0,5.0,7.0,4.0,1.0,6.0,5.0,3.0,7.0,6.0,5.0,7.0,5.0,6.0,3.0,5,3,1.0,5,1,1.5,3
21,Das Boot,1981.0,7.0,2.0,20.0,5.0,4.0,3.0,6.0,6.0,5.0,7.0,7.0,1.0,1.0,3.0,3.0,6.0,7.0,3.0,3.0,5.0,5.0,6.0,7.0,7.0,4.0,6.0,5.0,7.0,3.0,5,4,5.0,4,1,1.0,3
22,The Evil Dead,1981.0,2.0,1.0,5.0,1.0,2.0,2.0,5.0,3.0,1.0,6.0,1.0,5.0,1.0,3.0,1.0,5.0,6.0,4.0,1.0,5.0,3.0,1.0,7.0,7.0,3.0,3.0,2.0,5.0,2.0,5,1,1.0,5,1,1.0,3
23,Young and Innocent,1937.0,5.0,2.0,10.0,3.0,4.0,4.0,6.0,5.0,5.0,5.0,4.0,1.0,1.0,2.0,4.0,5.0,5.0,4.0,7.0,5.0,6.0,5.0,6.0,6.0,4.0,5.0,3.0,5.0,4.0,5,4,4.0,5,1,1.5,3
24,Escape from New York,1981.0,4.0,1.0,10.0,1.0,3.0,4.0,5.0,5.0,4.0,6.0,3.0,1.0,4.0,4.0,3.0,6.0,6.0,4.0,6.0,4.0,5.0,4.0,6.0,6.0,3.0,5.0,3.0,7.0,4.0,5,3,3.0,5,1,1.5,2
25,Eyes Wide Shut,1999.0,5.0,2.0,20.0,5.0,3.0,3.0,6.0,5.0,5.0,6.0,4.0,1.0,1.0,1.0,3.0,6.0,6.0,3.0,5.0,6.0,3.0,5.0,7.0,7.0,4.0,5.0,4.0,6.0,3.0,4,5,5.0,5,4,2.0,2
26,Enter the Dragon,1973.0,4.0,2.0,10.0,5.0,5.0,5.0,6.0,6.0,5.0,6.0,3.0,1.0,1.0,3.0,3.0,6.0,6.0,4.0,7.0,3.0,6.0,4.0,6.0,6.0,4.0,5.0,4.0,7.0,5.0,5,4,5.0,5,1,1.0,3
27,Evil Dead II,1987.0,3.0,1.0,10.0,1.0,3.0,3.0,4.0,5.0,3.0,6.0,1.0,5.0,1.0,3.0,3.0,5.0,6.0,5.0,5.0,5.0,5.0,2.0,7.0,7.0,3.0,5.0,3.0,6.0,4.0,5,3,3.0,5,1,2.0,3
28,Fearless (1993 film),1993.0,5.0,1.0,10.0,5.0,3.0,3.0,6.0,6.0,5.0,5.0,4.0,1.0,1.0,1.0,3.0,5.0,5.0,3.0,7.0,5.0,5.0,5.0,6.0,5.0,4.0,6.0,4.0,6.0,4.0,4,5,6.0,5,2,2.0,3
29,The Pinchcliffe Grand Prix,1975.0,5.0,3.0,5.0,1.0,5.0,5.0,6.0,6.0,5.0,6.0,3.0,1.0,2.0,2.0,3.0,5.0,6.0,3.0,7.0,3.0,6.0,5.0,6.0,6.0,4.0,5.0,4.0,6.0,5.0,5,4,5.0,3,1,1.0,3
30,Four Weddings and a Funeral,1994.0,6.0,2.0,10.0,3.0,4.0,3.0,6.0,6.0,6.0,5.0,5.0,1.0,1.0,1.0,4.0,5.0,5.0,3.0,7.0,3.0,6.0,5.0,5.0,5.0,5.0,7.0,4.0,6.0,3.0,3,5,5.0,2,1,1.5,3
31,Final Fantasy: The Spirits Within,2001.0,4.0,2.0,10.0,5.0,3.0,4.0,4.0,3.0,4.0,5.0,1.0,5.0,6.0,5.0,3.0,5.0,5.0,3.0,7.0,4.0,3.0,3.0,6.0,6.0,2.0,3.0,2.0,5.0,5.0,5,3,5.0,4,2,2.0,3
32,Show Me Love (film),1998.0,6.0,2.0,10.0,5.0,4.0,3.0,6.0,6.0,6.0,5.0,6.0,1.0,1.0,1.0,3.0,5.0,5.0,3.0,7.0,3.0,6.0,6.0,6.0,5.0,4.0,6.0,5.0,6.0,4.0,4,5,6.0,2,1,1.5,2
33,Full Metal Jacket,1987.0,6.0,2.0,20.0,5.0,3.0,3.0,6.0,6.0,5.0,6.0,6.0,1.0,1.0,2.0,3.0,5.0,6.0,4.0,5.0,5.0,5.0,5.0,7.0,7.0,5.0,6.0,4.0,6.0,3.0,5,4,5.0,5,1,1.0,3
34,King Kong vs. Godzilla,1962.0,2.0,2.0,10.0,1.0,3.0,3.0,1.0,3.0,3.0,5.0,1.0,6.0,3.0,3.0,4.0,4.0,5.0,4.0,5.0,2.0,5.0,2.0,5.0,6.0,2.0,3.0,2.0,5.0,3.0,5,2,1.0,4,1,1.5,2
35,"Ebirah, Horror of the Deep",1966.0,3.0,3.0,10.0,1.0,3.0,3.0,3.0,3.0,3.0,5.0,2.0,6.0,3.0,4.0,3.0,5.0,5.0,3.0,6.0,3.0,4.0,2.0,5.0,5.0,3.0,4.0,2.0,5.0,4.0,5,2,2.0,4,1,1.5,2
36,Son of Godzilla,1967.0,3.0,2.0,5.0,1.0,3.0,3.0,3.0,3.0,4.0,5.0,1.0,5.0,3.0,3.0,3.0,4.0,5.0,3.0,7.0,3.0,5.0,3.0,6.0,6.0,3.0,4.0,2.0,5.0,2.0,5,3,3.0,3,1,1.0,2
37,Destroy All Monsters,1968.0,2.0,3.0,20.0,1.0,3.0,4.0,3.0,2.0,3.0,5.0,1.0,5.0,5.0,4.0,5.0,5.0,5.0,3.0,7.0,3.0,5.0,2.0,5.0,5.0,2.0,3.0,2.0,7.0,4.0,5,1,1.0,5,1,1.5,3
38,Godzilla vs. Megalon,1973.0,2.0,3.0,10.0,1.0,3.0,3.0,3.0,2.0,5.0,2.0,1.0,5.0,6.0,4.0,4.0,4.0,4.0,3.0,7.0,2.0,3.0,1.0,3.0,3.0,2.0,2.0,2.0,3.0,4.0,5,2,1.0,4,1,1.5,2
39,Godzilla vs. Biollante,1989.0,4.0,4.0,10.0,1.0,4.0,3.0,5.0,5.0,5.0,6.0,2.0,5.0,5.0,4.0,4.0,5.0,6.0,3.0,5.0,5.0,4.0,4.0,6.0,6.0,4.0,5.0,4.0,5.0,4.0,5,4,3.0,4,2,2.0,2
40,Terror of Mechagodzilla,1975.0,3.0,3.0,10.0,4.0,3.0,3.0,5.0,5.0,5.0,5.0,2.0,5.0,3.0,3.0,4.0,5.0,5.0,3.0,6.0,3.0,5.0,3.0,5.0,5.0,3.0,4.0,2.0,5.0,3.0,5,4,3.0,5,1,2.0,2
41,Godzilla vs. King Ghidorah,1991.0,3.0,4.0,20.0,1.0,3.0,3.0,4.0,4.0,4.0,5.0,1.0,5.0,7.0,5.0,4.0,5.0,6.0,3.0,4.0,5.0,3.0,3.0,6.0,6.0,3.0,4.0,3.0,5.0,3.0,5,4,3.0,4,4,3.5,3
42,Godzilla vs. Mothra,1992.0,3.0,3.0,10.0,1.0,3.0,3.0,5.0,4.0,5.0,6.0,1.0,5.0,3.0,4.0,4.0,5.0,6.0,3.0,6.0,3.0,5.0,3.0,6.0,6.0,4.0,5.0,3.0,5.0,3.0,5,3,3.0,4,1,1.5,3
43,Godzilla (1954 film),1954.0,5.0,3.0,10.0,5.0,3.0,2.0,5.0,5.0,4.0,6.0,1.0,3.0,3.0,4.0,3.0,5.0,6.0,3.0,7.0,3.0,5.0,5.0,7.0,6.0,4.0,5.0,4.0,6.0,3.0,5,4,2.0,5,1,1.0,3
44,The Return of Godzilla,1984.0,4.0,3.0,10.0,5.0,4.0,5.0,5.0,5.0,5.0,6.0,3.0,5.0,5.0,4.0,5.0,6.0,6.0,4.0,7.0,3.0,5.0,3.0,6.0,6.0,3.0,5.0,4.0,5.0,4.0,5,3,3.0,5,1,1.5,3
45,Galaxy Quest,1999.0,6.0,4.0,20.0,5.0,4.0,4.0,6.0,6.0,5.0,6.0,3.0,5.0,5.0,4.0,3.0,6.0,6.0,4.0,7.0,5.0,6.0,5.0,6.0,6.0,5.0,6.0,4.0,6.0,4.0,5,4,6.0,4,1,1.5,3
46,Glen or Glenda,1953.0,2.0,2.0,5.0,5.0,4.0,3.0,5.0,5.0,6.0,3.0,3.0,1.0,1.0,2.0,3.0,2.0,3.0,2.0,6.0,3.0,2.0,2.0,5.0,6.0,2.0,2.0,2.0,2.0,4.0,3,5,5.0,4,4,3.5,2
47,Harold and Maude,1971.0,5.0,2.0,10.0,5.0,3.0,3.0,6.0,6.0,5.0,5.0,3.0,1.0,1.0,2.0,3.0,5.0,5.0,3.0,5.0,6.0,5.0,3.0,3.0,3.0,4.0,6.0,5.0,6.0,3.0,3,5,6.0,5,4,2.0,3
48,Heathers,1988.0,5.0,2.0,10.0,5.0,3.0,2.0,5.0,6.0,4.0,5.0,2.0,1.0,1.0,2.0,3.0,5.0,5.0,4.0,5.0,6.0,3.0,3.0,6.0,6.0,4.0,6.0,4.0,5.0,4.0,5,5,6.0,5,4,2.5,3
49,King Kong (1933 film),1933.0,3.0,3.0,10.0,1.0,3.0,3.0,5.0,6.0,5.0,6.0,1.0,3.0,1.0,4.0,3.0,6.0,6.0,4.0,7.0,2.0,6.0,3.0,7.0,7.0,3.0,5.0,4.0,6.0,4.0,5,4,1.0,5,1,1.0,3
50,Monty Python's Life of Brian,1979.0,2.0,1.0,20.0,5.0,4.0,2.0,5.0,3.0,5.0,6.0,2.0,1.0,1.0,2.0,4.0,5.0,6.0,4.0,1.0,5.0,5.0,2.0,6.0,6.0,5.0,7.0,3.0,6.0,3.0,5,4,3.0,4,1,1.5,3
51,La Jetée,1962.0,5.0,1.0,2.0,5.0,5.0,3.0,5.0,7.0,5.0,7.0,2.0,5.0,6.0,5.0,3.0,5.0,7.0,3.0,3.0,6.0,5.0,4.0,7.0,7.0,3.0,5.0,5.0,6.0,4.0,5,5,6.0,5,4,3.5,3
52,Mean Streets,1973.0,6.0,2.0,10.0,5.0,4.0,2.0,6.0,6.0,5.0,7.0,6.0,1.0,1.0,2.0,2.0,6.0,7.0,3.0,3.0,5.0,5.0,6.0,7.0,7.0,5.0,6.0,5.0,6.0,4.0,4,5,5.0,5,1,1.5,3
53,Monty Python and the Holy Grail,1975.0,1.0,4.0,20.0,1.0,4.0,3.0,5.0,3.0,4.0,6.0,1.0,5.0,1.0,3.0,5.0,5.0,6.0,4.0,1.0,5.0,5.0,2.0,7.0,7.0,5.0,7.0,2.0,5.0,4.0,5,1,2.0,3,4,3.5,3
54,Miss Congeniality (film),2000.0,5.0,1.0,10.0,3.0,5.0,4.0,6.0,5.0,6.0,5.0,4.0,1.0,1.0,2.0,3.0,4.0,5.0,3.0,7.0,2.0,6.0,4.0,4.0,4.0,3.0,4.0,3.0,5.0,4.0,5,4,5.0,4,1,1.5,3
55,My Neighbor Totoro,1988.0,6.0,2.0,10.0,5.0,5.0,4.0,6.0,6.0,6.0,7.0,3.0,4.0,1.0,3.0,3.0,6.0,7.0,3.0,7.0,2.0,7.0,6.0,7.0,7.0,4.0,5.0,5.0,7.0,3.0,1,5,2.0,2,1,1.0,1
56,Mulholland Drive (film),2001.0,4.0,2.0,20.0,5.0,3.0,3.0,6.0,5.0,3.0,7.0,2.0,2.0,1.0,2.0,4.0,6.0,7.0,2.0,1.0,7.0,2.0,3.0,7.0,7.0,4.0,6.0,5.0,7.0,3.0,3,5,7.0,5,4,4.0,3
57,Meet the Feebles,1989.0,2.0,6.0,20.0,5.0,2.0,2.0,2.0,2.0,2.0,3.0,1.0,2.0,1.0,3.0,3.0,5.0,5.0,3.0,5.0,6.0,1.0,1.0,6.0,7.0,3.0,5.0,1.0,5.0,2.0,5,5,5.0,5,4,3.5,3
59,Natural Born Killers,1994.0,3.0,2.0,10.0,5.0,1.0,1.0,2.0,1.0,1.0,5.0,2.0,1.0,1.0,2.0,5.0,5.0,5.0,4.0,5.0,5.0,3.0,2.0,7.0,7.0,3.0,5.0,2.0,5.0,5.0,5,4,1.0,5,4,3.5,3
60,"O Brother, Where Art Thou?",2000.0,5.0,4.0,20.0,3.0,4.0,3.0,5.0,5.0,5.0,6.0,4.0,3.0,1.0,2.0,4.0,6.0,6.0,3.0,5.0,5.0,5.0,4.0,6.0,6.0,5.0,6.0,4.0,7.0,4.0,5,5,4.0,4,1,1.5,3
61,Original Sin (2001 film),2001.0,2.0,2.0,10.0,5.0,2.0,2.0,4.0,3.0,3.0,5.0,3.0,1.0,1.0,2.0,3.0,5.0,5.0,2.0,4.0,3.0,3.0,2.0,3.0,4.0,2.0,2.0,2.0,3.0,3.0,5,4,4.0,4,4,3.5,3
62,Orgy of the Dead,1965.0,2.0,2.0,10.0,1.0,2.0,2.0,2.0,1.0,3.0,3.0,2.0,5.0,1.0,2.0,3.0,3.0,3.0,2.0,5.0,2.0,2.0,2.0,5.0,5.0,2.0,2.0,1.0,2.0,2.0,5,1,1.0,4,4,2.5,3
63,Paths of Glory,1957.0,6.0,1.0,10.0,5.0,5.0,4.0,6.0,6.0,6.0,6.0,6.0,1.0,1.0,1.0,3.0,6.0,6.0,3.0,2.0,5.0,6.0,6.0,7.0,6.0,5.0,6.0,5.0,6.0,4.0,5,5,5.0,5,1,1.0,3
64,Psycho (1960 film),1960.0,5.0,2.0,10.0,5.0,2.0,1.0,6.0,5.0,4.0,5.0,3.0,1.0,1.0,1.0,3.0,4.0,5.0,3.0,5.0,7.0,5.0,5.0,7.0,7.0,4.0,5.0,5.0,7.0,3.0,5,5,1.0,5,1,2.0,3
65,Princess Mononoke,1997.0,6.0,3.0,20.0,5.0,5.0,4.0,6.0,6.0,6.0,7.0,3.0,6.0,1.0,5.0,3.0,7.0,7.0,4.0,5.0,5.0,5.0,6.0,7.0,7.0,4.0,6.0,5.0,7.0,5.0,5,5,6.0,5,1,1.5,3
66,The Rocky Horror Picture Show,1975.0,3.0,4.0,10.0,5.0,3.0,2.0,4.0,4.0,4.0,6.0,1.0,5.0,5.0,4.0,2.0,6.0,6.0,4.0,3.0,6.0,3.0,2.0,7.0,7.0,3.0,5.0,3.0,7.0,2.0,4,3,3.0,5,4,3.5,3
67,Raging Bull,1980.0,6.0,1.0,10.0,5.0,1.0,2.0,6.0,3.0,2.0,6.0,6.0,1.0,1.0,1.0,3.0,5.0,6.0,3.0,3.0,3.0,5.0,5.0,7.0,7.0,5.0,6.0,5.0,7.0,3.0,5,5,5.0,5,4,3.5,3
68,Repo Man (film),1984.0,5.0,2.0,10.0,1.0,3.0,3.0,5.0,5.0,5.0,6.0,2.0,5.0,5.0,4.0,3.0,5.0,6.0,4.0,7.0,6.0,3.0,2.0,6.0,7.0,4.0,6.0,3.0,6.0,4.0,5,4,5.0,5,4,2.0,3
69,Star Trek Generations,1994.0,4.0,2.0,20.0,5.0,4.0,4.0,5.0,5.0,5.0,5.0,2.0,3.0,7.0,5.0,3.0,5.0,5.0,3.0,7.0,2.0,4.0,4.0,5.0,5.0,3.0,4.0,3.0,5.0,4.0,5,4,5.0,4,4,2.0,3
70,Star Trek: First Contact,1996.0,5.0,3.0,20.0,5.0,5.0,5.0,6.0,6.0,5.0,6.0,2.0,3.0,7.0,5.0,3.0,6.0,6.0,4.0,7.0,5.0,5.0,5.0,6.0,6.0,4.0,5.0,4.0,7.0,5.0,5,4,5.0,5,4,2.5,3
71,Star Trek II: The Wrath of Khan,1982.0,5.0,2.0,10.0,5.0,5.0,5.0,6.0,6.0,6.0,6.0,3.0,3.0,6.0,5.0,4.0,6.0,6.0,4.0,7.0,5.0,6.0,5.0,6.0,6.0,5.0,6.0,5.0,7.0,5.0,5,5,5.0,4,1,1.5,3
72,Saving Private Ryan,1998.0,6.0,2.0,8.0,5.0,5.0,4.0,7.0,7.0,5.0,7.0,7.0,1.0,1.0,1.0,3.0,6.0,7.0,4.0,7.0,5.0,5.0,7.0,7.0,7.0,4.0,6.0,5.0,7.0,5.0,5,4,5.0,5,1,1.0,3
73,Stargate (film),1994.0,4.0,2.0,15.0,1.0,4.0,4.0,5.0,5.0,5.0,6.0,2.0,5.0,5.0,5.0,3.0,5.0,6.0,3.0,5.0,3.0,5.0,3.0,5.0,6.0,3.0,3.0,3.0,6.0,4.0,5,3,4.0,4,4,2.0,3
74,Scared to Death (1947 film),1947.0,3.0,2.0,5.0,4.0,3.0,2.0,4.0,3.0,4.0,4.0,2.0,2.0,1.0,2.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,5.0,5.0,3.0,4.0,2.0,5.0,2.0,4,4,2.0,5,4,2.5,3
75,The Texas Chain Saw Massacre,1974.0,5.0,1.0,10.0,5.0,5.0,2.0,6.0,2.0,5.0,7.0,2.0,1.0,1.0,2.0,3.0,5.0,7.0,4.0,1.0,5.0,2.0,3.0,7.0,7.0,2.0,2.0,5.0,6.0,1.0,5,1,1.0,5,1,1.0,3
76,The Big Lebowski,1998.0,5.0,2.0,20.0,3.0,4.0,2.0,6.0,4.0,5.0,6.0,3.0,1.0,1.0,2.0,4.0,6.0,6.0,3.0,5.0,5.0,3.0,3.0,7.0,7.0,5.0,7.0,2.0,6.0,1.0,4,4,2.0,5,1,3.5,2
77,The Rock (film),1996.0,4.0,2.0,10.0,3.0,4.0,4.0,5.0,5.0,5.0,5.0,3.0,1.0,1.0,2.0,3.0,5.0,5.0,5.0,7.0,3.0,5.0,4.0,6.0,6.0,4.0,5.0,2.0,6.0,4.0,5,2,3.0,5,1,1.0,2
78,The Graduate,1967.0,6.0,2.0,5.0,3.0,2.0,2.0,5.0,5.0,5.0,5.0,5.0,1.0,1.0,1.0,4.0,5.0,5.0,3.0,5.0,5.0,6.0,5.0,6.0,6.0,4.0,6.0,4.0,7.0,3.0,4,5,5.0,5,1,1.5,3
79,The Breakfast Club,1985.0,6.0,5.0,5.0,5.0,5.0,3.0,6.0,7.0,6.0,5.0,6.0,1.0,1.0,1.0,1.0,5.0,5.0,3.0,7.0,2.0,7.0,6.0,6.0,5.0,5.0,6.0,5.0,7.0,3.0,2,5,6.0,2,1,1.0,1
