tv_idx,title,year,9_how_realistic_did_you_find_the_dialogue_in_the_movie,1_how_many_protagonists_were_there_a_protagonist_is_the_person_or_enti,3_approximately_how_many_named_side_characters_are_in_this_movie_feel,5_if_you_checked_any_of_the_above_how_relevant_are_these_aspect_s_of_t,8a_how_likable_was_this_protagonist_by_likable_we_mean_easy_to_relate,8b_how_competent_was_this_protagonist_by_competent_we_mean_effective_a,11_how_real_did_this_protagonist_feel_to_you,12_how_emotionally_invested_were_you_in_this_protagonist,13_how_relatable_did_you_find_this_protagonist,5_in_your_opinion_how_would_you_rate_the_quality_of_the_character_writ,3_how_realistic_was_the_world_of_the_movie_by_realistic_we_mean_plausi,5_how_fantastical_was_the_world_of_the_movies_by_fantastical_we_mean_a,6_how_science_fictional_was_the_world_of_the_movie_by_science_fictiona,7_overall_how_relevant_was_world_building_to_the_movie_world_building,8_how_many_major_settings_does_the_movie_contain_here_we_re_asking_you,4_how_immersive_did_you_find_this_setting_by_immersive_we_mean_fully_r,5_in_your_opinion_how_would_you_rate_the_quality_of_the_setting_and_wo,7_on_the_whole_how_would_you_describe_the_pace_of_the_movie_pace_is_th,12a_on_a_scale_of_1_entirely_unresolved_to_7_entirely_resolved,12b_on_a_scale_of_1_very_unsurprising_predictable_to_7_very_surprising,12c_on_a_scale_of_1_very_confusing_to_7_very_easy_to_understand,19_how_convincing_did_you_find_the_plot_by_convincing_we_mean_believab,3_how_evocative_did_you_find_the_visual_style_by_evocative_we_mean_aff,4_how_interesting_did_you_find_the_visual_style_by_interesting_we_mean,7_now_let_s_talk_pun_intended_about_dialogue_in_your_opinion_how_was_t,8_how_engaging_did_you_find_the_dialogue_in_the_movie,5_to_what_extent_did_you_feel_moved_by_this_movie_on_an_emotional_basi,13_how_much_did_you_like_the_score,8c_how_proactive_was_this_protagonist_by_proactive_we_mean_motivated_a,plot_driven,character_driven,character_development,opening_hook,time_linearity,plot_linearity,ending_reversal
10,Father Ted,1995.0,5,3,20,5,4,2,5,5,4,7,3,1,1,5,2,5.0,6,4,5,5,6,3,5,5,5,7,2,6,4,3,3,2,3,1,1.0,1
11,Four Feather Falls,1960.0,4,1,12,1,4,4,3,3,3,4,2,6,4,5,1,5.0,6,3,5,3,6,3,5,5,3,5,2,5,4,4,2,2,4,1,1.5,1
12,Frasier,1993.0,6,4,20,3,4,4,6,6,5,7,6,1,1,4,4,5.0,6,3,7,3,6,6,5,5,5,7,4,6,4,2,5,5,2,1,1.0,1
13,Mobile Suit Gundam Wing,2012.0,5,6,30,3,4,4,5,5,4,6,3,6,7,5,5,6.0,7,4,5,5,3,5,6,6,4,6,4,6,5,5,4,5,5,1,1.5,2
14,House of Cards (British TV series),1990.0,6,1,20,1,1,5,5,2,1,7,5,1,1,5,5,5.0,6,4,3,6,3,6,6,6,5,6,4,6,5,5,5,1,5,1,3.5,3
15,Mobile Suit Gundam,1979.0,5,3,30,4,4,4,6,6,5,6,3,5,7,5,4,6.0,7,4,6,5,3,5,6,7,4,6,4,6,5,5,4,6,5,1,1.5,2
16,Max Headroom (TV series),1987.0,5,1,30,4,5,4,5,5,5,5,3,5,6,5,3,6.0,6,4,5,5,3,5,6,6,4,6,3,5,5,5,3,5,5,1,1.0,2
17,Mystery Science Theater 3000,2019.0,6,4,20,1,5,4,4,5,5,6,2,5,5,5,2,4.0,5,3,1,3,5,2,5,6,5,7,1,5,3,2,1,1,3,1,1.0,1
18,Neon Genesis Evangelion,2024.0,5,3,10,5,4,3,7,7,6,7,2,7,7,5,3,6.0,7,3,6,7,2,5,7,7,5,7,5,7,3,5,5,7,5,4,3.5,3
19,One Foot in the Grave,1990.0,6,2,5,1,3,2,6,5,5,6,5,1,1,2,3,5.0,5,3,5,5,6,5,5,5,4,6,4,5,2,4,4,3,1,1,1.5,3
20,The Ren &amp; Stimpy Show,2023.0,2,2,30,1,2,2,2,3,2,5,1,6,2,3,3,4.0,5,4,3,6,4,2,6,7,4,6,1,5,2,2,2,1,2,1,1.0,1
21,Star Trek: Deep Space Nine,2025.0,6,3,30,5,5,5,6,6,6,7,3,6,7,5,3,6.0,7,4,7,5,5,6,6,6,5,6,5,6,5,5,5,6,4,1,2.5,3
22,Star Trek: The Animated Series,1973.0,5,1,30,3,5,5,5,5,5,5,2,6,7,5,3,6.0,6,3,5,3,6,5,5,5,4,5,3,5,5,5,2,3,2,1,1.0,1
23,Star Trek: Voyager,1995.0,5,5,30,3,5,5,6,6,5,6,2,7,7,5,5,6.0,7,3,7,5,5,5,6,6,4,6,4,6,5,5,4,5,5,1,2.0,3
24,South Park,2021.0,2,4,50,3,4,3,4,3,5,6,3,3,2,5,4,6.0,6,4,3,5,6,3,5,5,5,7,1,5,3,5,3,2,3,1,1.0,1
25,The Simpsons,2024.0,5,1,50,3,4,2,5,5,6,7,3,2,1,5,3,6.0,7,4,7,1,7,3,6,6,5,7,2,6,2,2,4,2,2,1,1.0,1
26,The A-Team,1983.0,3,4,20,1,3,4,4,4,4,4,2,2,1,2,3,3.0,4,3,3,1,6,3,4,3,3,4,1,5,4,3,2,2,3,1,1.0,2
27,The Singularity (Agents of S.H.I.E.L.D.),2023.0,5,5,20,3,4,4,5,5,5,5,4,6,6,5,5,5.0,6,4,4,5,3,5,6,5,4,6,4,5,4,5,4,5,5,2,2.5,3
28,The X-Files,2025.0,5,2,20,3,4,4,6,6,5,7,3,5,6,5,4,6.0,7,3,3,5,5,4,6,6,5,6,4,7,5,5,5,5,5,2,2.0,3
29,The Man from U.N.C.L.E.,1964.0,5,2,10,3,4,5,5,5,4,5,4,2,2,4,3,5.0,6,3,5,3,6,5,5,5,4,5,2,5,5,5,2,3,3,1,1.0,1
30,The Six Million Dollar Man,1973.0,3,1,20,1,4,5,4,5,2,5,2,5,6,5,3,5.0,5,3,5,3,6,3,5,5,3,5,2,5,4,5,2,3,5,1,1.0,1
31,Teletubbies,2022.0,1,4,5,1,5,1,1,1,1,2,1,7,5,5,2,6.0,6,2,5,1,7,1,7,6,2,3,1,5,1,1,1,1,1,1,1.0,1
32,Flower Pot Men,2020.0,3,3,5,1,3,2,1,3,2,4,1,6,5,5,2,5.0,5,3,3,2,6,1,5,5,3,5,2,5,1,3,1,1,1,1,1.0,1
33,The Prisoner,1967.0,5,1,30,5,5,4,6,7,6,7,3,5,5,5,1,6.0,7,3,2,6,3,5,7,7,5,6,4,6,5,5,5,6,5,1,1.5,3
34,The Starlost,1973.0,4,3,20,4,4,3,4,5,5,4,3,5,6,5,5,6.0,6,3,3,5,3,3,5,5,3,5,2,5,5,5,4,5,5,1,2.0,3
35,The Day After,1983.0,5,4,10,1,5,3,6,7,5,5,5,1,1,5,5,5.0,6,3,1,5,2,6,6,6,4,5,5,5,4,5,5,6,5,4,2.0,3
36,Threads (1984 film),1984.0,6,2,20,1,3,2,6,7,5,5,6,1,1,5,3,6.0,7,2,1,6,2,6,7,7,3,5,5,5,3,5,3,7,5,4,2.0,3
37,Hawaii Five-O (1968 TV series),2010.0,5,4,15,1,4,5,5,5,3,5,4,1,1,5,4,6.0,6,4,7,2,6,5,6,5,4,5,2,7,5,5,2,2,4,2,1.5,3
38,The Brady Bunch,1969.0,5,6,8,3,5,4,5,5,5,5,5,1,1,3,1,5.0,5,3,3,2,6,5,5,5,4,5,2,5,3,2,4,2,1,1,1.0,1
39,The Muppet Show,1976.0,5,1,30,1,5,4,5,5,5,7,1,6,1,3,1,5.0,6,4,7,1,6,1,7,6,5,7,2,7,3,1,1,1,1,1,1.0,1
40,Cracker (British TV series),1993.0,6,1,20,3,3,4,6,6,3,7,6,1,1,4,3,5.0,6,3,5,5,3,6,6,5,4,6,4,5,3,3,5,5,4,2,2.0,2
41,Dreams (TV series),2025.0,5,1,10,3,4,3,5,4,5,4,5,2,1,3,2,4.0,4,3,1,3,5,4,5,6,3,5,2,5,3,2,2,2,1,1,1.0,1
42,The Dukes of Hazzard,1979.0,4,3,10,1,5,4,5,5,5,5,3,1,1,4,3,5.0,5,4,5,2,6,3,5,5,3,5,2,5,4,5,2,2,1,1,1.0,1
43,Knight Rider (1982 TV series),1982.0,3,3,5,1,4,4,4,5,3,5,3,4,5,4,3,5.0,5,3,5,3,6,3,5,5,3,5,2,5,5,5,2,3,4,1,1.0,1
44,Buffy the Vampire Slayer,1997.0,5,1,20,5,5,5,6,7,6,7,2,7,5,5,3,6.0,7,4,6,5,6,5,6,6,5,7,4,6,5,5,5,6,5,1,2.0,3
45,Backyard Blitz,2024.0,5,4,10,1,3,5,5,3,4,3,5,1,1,1,1,4.0,3,4,5,2,5,5,4,5,3,5,1,5,1,2,1,1,1,1,1.0,1
46,The Powerpuff Girls,1998.0,2,3,20,3,5,5,3,5,5,6,1,7,6,5,3,5.0,6,4,5,2,7,2,6,6,4,6,2,6,5,5,3,2,5,1,1.0,1
47,The Flintstones,2025.0,3,3,10,1,4,3,3,3,5,5,1,6,3,5,1,6.0,6,3,7,2,6,2,6,6,4,6,2,5,3,3,2,2,1,1,1.0,1
48,Mars Needs Women,1968.0,3,2,10,1,3,2,2,3,3,3,2,5,5,3,3,4.0,4,3,2,3,4,2,4,3,3,3,1,2,3,5,3,3,4,1,1.0,2
49,Mission: Impossible (1966 TV series),1966.0,5,3,25,1,3,5,5,3,3,5,4,2,2,4,2,4.0,5,3,2,5,4,5,5,5,3,5,2,5,4,5,1,1,4,1,1.0,1
50,Noir (TV series),2001.0,5,2,20,3,4,4,5,5,4,5,3,2,2,5,3,5.0,6,3,4,5,4,5,6,6,4,5,4,6,4,4,4,5,4,2,2.5,2
51,The Magician (American TV series),1973.0,5,3,10,3,4,4,5,5,4,5,3,2,2,4,3,5.0,5,3,5,3,5,3,5,5,3,5,3,5,5,4,4,4,4,1,1.5,1
52,Timeslip,1970.0,5,2,10,1,4,3,5,5,5,5,2,5,6,5,3,5.0,6,3,5,4,5,4,5,5,4,5,3,5,4,5,4,5,4,4,3.5,1
53,Dinnerladies (TV series),1998.0,6,3,20,3,5,4,6,6,6,6,6,1,1,3,2,5.0,5,3,6,3,6,5,5,5,4,6,4,5,4,3,5,5,2,1,1.5,2
54,The Munsters,1964.0,5,4,20,5,5,3,5,5,5,6,2,5,3,5,1,5.0,6,3,7,3,6,3,6,6,4,6,2,5,2,2,3,2,1,1,1.0,1
55,Absolutely Fabulous,1992.0,6,3,5,5,2,2,6,4,3,7,5,1,1,2,3,5.0,5,4,5,3,5,4,6,5,5,7,2,5,2,2,5,2,1,1,1.5,1
56,The Caves of Steel,1954.0,5,3,20,3,3,4,5,5,5,5,4,5,6,5,4,6.0,6,3,6,5,3,5,5,5,4,5,4,5,4,5,4,5,4,1,2.0,3
57,Cop Rock,1990.0,3,6,10,2,3,3,3,3,3,4,2,1,1,3,3,4.0,4,3,3,3,3,2,5,5,3,5,2,5,3,4,4,3,3,1,2.0,1
58,Adam Adamant Lives!,1966.0,5,2,10,1,3,3,4,5,3,5,2,5,4,5,4,5.0,5,3,5,5,3,3,5,5,4,5,2,5,4,5,3,3,5,2,2.0,1
59,Matlock (1986 TV series),2024.0,5,1,20,1,4,5,6,5,5,6,5,1,1,3,3,5.0,5,3,7,2,6,5,4,3,4,5,2,5,5,5,4,2,2,1,1.0,1
60,Neverwhere,1996.0,5,2,25,3,4,3,6,6,5,6,2,7,6,5,2,6.0,7,4,5,5,4,5,6,6,4,6,4,5,4,5,5,5,5,2,1.5,3
61,Farscape,1999.0,4,3,30,3,5,4,6,6,5,7,2,7,7,5,3,6.0,7,4,5,5,3,4,6,6,4,6,4,5,4,4,5,6,5,2,2.0,2
62,Blake's 7,1978.0,5,5,30,5,4,4,6,6,5,6,3,6,7,5,5,6.0,6,3,1,5,4,5,6,5,4,6,4,5,5,5,4,5,5,1,2.0,3
63,Seven Days (TV series),2025.0,3,1,25,3,3,5,5,5,3,5,2,6,6,5,2,5.0,5,4,5,5,4,3,5,5,3,5,3,5,5,5,2,4,5,4,4.0,1
64,Crime Traveller,2013.0,4,3,10,1,4,4,4,5,4,5,2,6,6,4,3,5.0,5,4,5,5,5,3,5,5,4,5,3,5,4,5,3,3,5,4,2.0,1
65,Chico and the Man,1974.0,5,2,10,5,4,3,5,5,5,6,5,1,1,3,2,5.0,5,3,6,3,6,5,5,4,4,6,3,5,3,2,5,5,2,1,1.5,2
66,24 (TV series),2001.0,5,1,30,5,4,5,6,7,4,6,3,1,1,5,5,6.0,6,5,3,6,5,5,6,6,4,6,4,6,5,5,4,6,5,1,1.0,3
67,Up Pompeii!,1969.0,3,5,8,1,3,2,4,3,4,5,3,3,1,5,2,5.0,5,3,5,3,5,3,5,5,4,6,1,5,2,2,1,1,2,1,1.0,1
68,Goof Troop,2025.0,5,4,5,3,5,2,5,5,6,5,5,2,1,2,3,5.0,5,3,5,2,6,5,5,5,4,5,3,5,3,2,3,3,1,1,1.0,1
69,Mickey Mouse Works,2020.0,5,3,20,1,5,3,5,3,3,5,2,2,1,4,3,5.0,5,4,5,2,6,5,6,6,3,5,1,5,3,2,1,1,1,1,1.0,1
70,Hercules: The Legendary Journeys,1995.0,3,2,20,3,5,5,4,5,3,5,2,7,5,5,5,6.0,6,3,7,3,5,4,5,5,4,5,3,5,5,5,3,5,3,1,1.5,3
71,Andromeda (TV series),2004.0,4,5,30,3,4,4,5,5,4,5,3,6,7,5,5,6.0,6,3,4,5,4,4,6,5,4,5,3,5,5,5,3,5,5,4,2.5,3
72,Daria,1997.0,6,2,30,5,5,4,6,6,6,7,4,2,1,5,3,5.0,6,3,7,3,6,4,6,6,5,7,4,6,2,2,5,5,1,1,1.0,1
74,Jeremiah (TV series),2002.0,5,2,25,3,4,4,5,5,5,5,4,3,6,5,4,5.0,6,3,6,5,4,5,5,5,4,5,3,5,4,5,4,5,4,1,2.0,2
75,Bottom (TV series),1991.0,5,2,10,1,2,1,5,2,2,5,3,2,1,3,2,5.0,5,4,3,3,5,2,5,3,4,6,1,5,2,2,3,1,1,1,1.0,1
76,The Jetsons,2021.0,3,5,10,1,3,3,3,3,4,5,2,6,7,5,4,6.0,6,3,5,2,7,3,6,6,4,5,2,5,2,2,2,1,1,1,1.0,1
77,The Mary Tyler Moore Show,1970.0,6,1,10,5,5,4,6,6,6,7,6,1,1,4,3,5.0,6,3,5,3,6,6,5,5,5,6,4,5,4,3,5,5,2,1,2.0,1
79,Sex and the City,1998.0,5,4,10,5,4,3,6,5,6,7,5,1,1,2,3,5.0,6,3,3,3,5,5,6,5,4,7,3,5,4,2,5,3,3,1,1.5,1
80,Dad (TV series),1997.0,5,4,3,3,3,2,5,5,5,5,5,1,1,2,3,4.0,4,3,5,3,6,5,4,4,4,5,3,5,2,2,4,2,1,1,1.0,1
81,Lizzie McGuire,2023.0,6,3,20,5,5,3,6,6,7,6,6,1,1,2,3,5.0,5,3,5,2,7,6,5,5,4,5,4,5,3,2,5,5,1,1,1.0,1
82,Full House,1987.0,5,5,20,3,5,4,5,5,5,5,5,1,1,2,2,5.0,4,3,7,2,7,4,4,3,4,5,3,5,3,2,4,4,2,1,1.0,1
83,Growing Pains,1985.0,5,4,20,1,4,4,5,5,5,5,5,1,1,2,2,5.0,4,3,6,2,6,5,4,3,4,5,3,5,3,2,3,3,1,1,1.0,1
84,Gilligan's Island,1964.0,4,7,30,5,4,1,4,4,5,5,3,2,1,4,1,5.0,5,3,1,3,6,2,5,5,4,5,2,5,2,4,4,3,4,1,1.0,1
85,NewsRadio,1995.0,5,3,20,1,4,3,5,5,5,6,3,3,1,4,2,5.0,5,4,4,4,5,3,5,5,5,6,2,5,3,3,2,2,2,1,1.0,1
86,Thundarr the Barbarian,1980.0,2,3,20,1,3,5,3,4,3,4,2,7,7,5,5,6.0,7,4,4,5,4,2,6,6,3,5,2,5,5,5,2,2,5,1,1.0,1
87,Boy Meets World,1993.0,5,4,20,3,5,3,6,6,6,6,5,1,1,3,5,5.0,5,3,7,3,6,5,5,4,4,6,4,5,4,3,5,6,1,1,1.5,1
88,Aqua Teen Hunger Force,2025.0,2,3,25,1,2,2,2,2,2,5,1,6,5,3,2,3.0,4,4,2,5,2,2,6,6,4,6,1,5,2,3,2,1,2,4,2.5,1
89,The Partridge Family,1970.0,5,1,20,1,4,4,5,4,5,5,3,1,1,3,3,5.0,5,3,5,2,6,4,5,5,4,5,2,5,4,3,3,2,2,1,1.0,1
91,Yes Minister,2011.0,7,3,20,1,4,3,6,5,5,7,6,1,1,5,3,5.0,6,3,5,3,5,6,5,3,5,7,1,5,3,4,4,3,2,1,1.5,1
92,The Likely Lads,1964.0,6,2,5,5,5,3,6,5,6,6,6,1,1,3,3,5.0,5,3,5,2,6,6,5,4,4,6,3,5,3,2,5,3,1,1,1.0,1
93,Whatever Happened to the Likely Lads?,1973.0,6,3,20,5,3,3,6,5,5,6,6,1,1,4,3,6.0,6,3,5,3,5,6,5,5,4,6,3,5,3,3,5,5,2,2,2.0,2
94,David Cassidy: Man Undercover,2019.0,5,1,15,1,3,4,5,4,5,4,5,1,1,3,2,4.0,5,3,5,3,6,4,4,4,3,5,3,5,4,4,2,3,3,1,1.0,1
95,Are You Being Served?,1972.0,5,5,20,3,4,3,5,3,5,5,5,1,1,5,1,5.0,5,3,5,2,6,3,5,5,4,7,1,5,2,2,2,2,1,1,1.0,1
96,Buzzkill (TV series),2025.0,5,3,10,1,2,3,3,2,2,3,5,1,1,2,2,3.0,4,3,4,3,5,4,5,5,3,5,2,5,1,4,1,1,2,1,1.0,1
97,As Time Goes By (TV series),1992.0,6,2,25,1,4,4,6,6,5,6,5,1,1,2,4,5.0,5,3,7,2,6,5,5,3,4,5,4,5,4,2,5,4,1,1,1.5,1
98,Roseanne,1988.0,7,5,30,5,5,4,6,6,6,6,6,1,1,5,2,6.0,6,3,6,5,6,6,6,5,5,6,4,5,4,3,5,5,2,1,1.0,1
99,Darkwing Duck,2025.0,5,2,20,1,4,4,5,5,5,6,2,6,3,5,3,5.0,6,4,5,5,6,3,6,6,4,6,2,6,4,4,4,4,2,1,1.0,1
102,In the Heat of the Night (TV series),1988.0,5,2,25,4,4,4,6,5,5,6,5,1,1,4,2,5.0,5,3,5,3,5,5,5,5,4,6,4,5,4,4,4,5,2,1,1.5,1
103,Dexter's Laboratory,2025.0,3,2,20,1,4,5,3,5,3,5,2,5,6,5,2,5.0,5,4,5,3,6,3,5,5,4,5,1,6,5,3,2,2,2,1,1.0,1
104,Cara sucia (TV series),1992.0,5,2,10,4,4,3,5,6,4,5,4,1,1,4,4,5.0,5,3,5,5,3,4,6,5,4,5,4,5,3,5,5,5,5,2,2.0,3
105,Kids Incorporated,2017.0,4,5,20,2,4,3,4,4,5,4,3,5,4,4,2,4.0,5,3,4,3,5,3,5,5,3,5,3,5,4,3,4,3,2,1,1.0,1
106,Where Is Everybody?,2025.0,5,1,5,1,5,2,6,6,5,5,5,2,5,5,5,5.0,6,3,7,6,5,5,6,6,4,5,4,6,3,5,5,5,5,1,2.0,3
107,One for the Angels,2025.0,5,1,10,1,5,4,6,6,6,6,3,5,3,3,2,5.0,6,3,7,5,6,5,6,5,4,6,4,5,5,5,5,6,5,1,1.5,3
108,Punky Brewster,1984.0,5,3,10,3,5,4,6,6,6,6,5,1,1,2,5,5.0,5,3,7,3,6,4,5,5,4,5,4,5,4,4,5,5,3,1,1.0,3
109,Mr. Denton on Doomsday,2025.0,5,2,5,3,4,2,6,6,5,6,4,5,2,4,3,5.0,6,3,7,5,6,5,6,5,4,6,4,5,3,5,5,6,4,1,1.5,3
110,The Sixteen-Millimeter Shrine,2025.0,5,2,5,3,4,2,6,6,5,6,3,3,2,4,2,5.0,5,3,5,5,5,5,6,6,4,5,4,6,2,4,5,2,4,4,2.5,3
111,Walking Distance,2025.0,5,1,10,3,5,3,6,6,6,6,3,5,5,5,4,6.0,6,3,7,5,5,5,6,6,4,6,4,6,3,5,5,6,5,4,2.5,2
112,Escape Clause,2025.0,5,1,5,1,1,2,5,2,3,5,3,6,5,4,3,5.0,5,3,3,6,3,4,6,6,4,5,4,5,4,5,5,6,5,1,2.0,3
113,The Lonely,2025.0,5,2,3,5,4,3,6,7,5,6,4,5,6,5,2,5.0,6,3,2,6,5,5,6,6,4,6,5,6,4,5,5,6,5,1,1.5,3
114,Time Enough at Last,2003.0,5,1,3,5,5,2,6,7,6,6,4,1,5,4,3,5.0,6,3,1,7,5,5,7,6,4,6,5,6,2,5,5,5,5,1,1.0,3
115,Perchance to Dream (The Twilight Zone),2025.0,5,2,3,1,3,1,6,6,5,5,3,5,5,4,3,5.0,6,3,1,6,3,5,6,6,4,6,4,6,2,5,5,2,5,4,2.0,3
116,Super Dimension Fortress Macross,2014.0,5,3,20,3,5,4,5,6,5,6,2,6,7,5,5,6.0,7,4,6,5,3,5,6,6,4,6,4,7,5,5,5,6,5,1,1.5,2
117,Fridays (TV series),1980.0,5,1,25,1,3,3,4,1,3,5,5,1,1,3,1,5.0,5,4,5,5,5,5,5,5,4,6,2,5,1,4,1,1,5,1,1.0,1
118,Undressed,2012.0,5,3,30,3,3,2,5,3,5,4,5,1,1,2,2,3.0,4,3,3,3,5,4,5,5,3,5,2,5,2,3,4,2,2,2,3.5,1
119,Judgment Night (The Twilight Zone),2025.0,5,2,10,1,2,1,6,5,5,6,5,5,3,5,2,6.0,6,3,5,6,3,5,7,6,4,6,4,6,2,5,5,5,5,4,3.5,3
120,And When the Sky Was Opened,2025.0,5,2,3,1,3,2,6,5,5,6,3,6,6,5,4,5.0,6,3,1,6,3,5,6,6,4,6,4,5,4,5,4,5,5,4,3.5,3
121,What You Need (The Twilight Zone),2025.0,5,3,5,1,3,3,5,3,3,6,3,5,5,4,3,5.0,6,3,6,5,5,5,6,6,4,6,4,5,2,5,4,3,4,1,2.0,3
123,Third from the Sun,2025.0,5,5,5,1,4,4,6,6,5,5,4,5,5,5,3,5.0,6,4,7,5,5,5,6,5,4,5,4,5,5,5,5,6,5,1,1.5,3
124,Oz (TV series),2025.0,6,3,30,5,4,3,6,6,5,7,5,2,1,5,2,6.0,6,3,3,5,3,5,6,6,5,6,5,6,3,5,5,6,5,1,2.0,2
125,A Charlie Brown Christmas,1965.0,5,2,10,1,5,3,6,6,6,6,5,1,1,3,3,5.0,6,3,7,2,7,5,7,6,4,6,5,7,4,5,5,5,3,1,1.0,3
126,Mister Magoo's Christmas Carol,1962.0,5,1,20,1,5,3,5,6,5,5,5,5,1,5,5,5.0,6,3,7,1,6,5,6,5,4,5,4,6,5,5,5,7,4,4,2.0,3
127,I Shot an Arrow into the Air,2025.0,5,3,4,1,1,1,6,5,5,6,5,2,5,5,2,5.0,6,4,7,6,5,6,6,5,4,6,5,5,2,5,5,7,5,1,2.0,3
128,The Hitch-Hiker (The Twilight Zone),2025.0,5,1,5,1,3,2,6,5,5,5,4,5,2,5,5,5.0,7,4,7,6,5,6,7,6,4,6,4,6,3,5,5,6,5,1,2.0,3
129,The Fever (The Twilight Zone),2025.0,5,2,5,3,2,1,6,5,5,6,5,5,2,5,2,5.0,6,3,1,6,5,5,6,6,4,5,4,5,1,5,5,7,5,1,1.0,3
130,Postman Pat,2024.0,5,2,10,1,5,4,5,3,5,5,5,1,1,3,3,5.0,5,2,5,1,7,5,4,3,3,3,2,5,5,2,2,2,1,1,1.0,1
131,Top Cat,2025.0,3,6,6,1,3,2,3,3,3,5,2,1,1,3,1,5.0,5,3,5,2,5,3,5,5,3,5,1,5,4,4,1,1,1,4,3.5,1
132,State of Grace (TV series),2001.0,5,2,15,4,4,3,5,5,5,5,5,1,1,3,2,5.0,5,3,1,3,6,5,5,5,4,5,3,5,3,2,4,3,1,1,1.0,1
133,The Wonder Years,1988.0,6,1,20,1,5,3,6,6,6,6,6,1,1,3,3,5.0,5,3,5,3,6,6,6,5,5,6,4,7,3,3,5,6,5,4,2.5,1
134,Angel (1999 TV series),1999.0,5,5,30,3,4,4,6,6,5,6,2,6,5,5,5,5.0,6,3,5,5,5,5,6,5,4,6,4,6,4,5,5,6,4,1,2.0,3
